run,experiment,users,total_tokens,duration_s,tokens_per_sec,cost_per_M_tokens
DeepSeek-R1 Quant,baseline,16,58852,224.42235888999994,262.2376856347284,1.673630118518581
DeepSeek-R1 Quant,baseline,64,155832,240.5498000460002,647.8159614774169,0.6774900820411304
DeepSeek-R1 Quant,bitsandbytes_quantization,16,26539,195.0013288980008,136.09650841857462,3.2248357727081034
DeepSeek-R1 Quant,fp8_quantization,16,70378,234.17973184099992,300.52985135273906,1.46038367540985
DeepSeek-R1 Quant,fp8_quantization,64,225133,240.30802302199936,936.8517836767766,0.4684720641363587
Qwen2.5 Quant,non_reasoning_baseline,16,49461,232.31469397800538,212.90517251863014,2.0614289624667723
Qwen2.5 Quant,non_reasoning_baseline,64,129452,239.285756795005,540.9933367279395,0.8112648698104058
Qwen2.5 Quant,non_reasoning_fp8,16,54172,235.66690398500214,229.86681236940896,1.9093182019837194
I/O Profiles,custom_all_profiles,16,66186,226.31752953900286,292.447518912112,1.5007441011007052
I/O Profiles,custom_all_profiles,64,216024,240.87140809000266,896.8436798413271,0.48937055448340644
I/O Profiles,custom_coding_only,16,69012,234.65766975799488,294.09650266779204,1.4923295071776241
I/O Profiles,custom_coding_only,64,225438,236.51713953299623,953.1571388235457,0.46045806196300093
I/O Profiles,custom_creative_only,16,68309,235.68184244800068,289.83565000375984,1.5142681339690114
I/O Profiles,custom_creative_only,64,229745,237.08873839899752,969.0253596666463,0.45291785659755146
I/O Profiles,custom_long_input_only,16,65068,216.668117205998,300.31183562709583,1.4614438620856336
I/O Profiles,custom_long_input_only,64,243538,238.6511369159998,1020.4770157274393,0.4300820911444343
I/O Profiles,custom_reasoning_only,16,65163,223.72588428799645,291.26267712553715,1.5068490519288995
I/O Profiles,custom_reasoning_only,64,234766,240.43827329100168,976.4086091063524,0.4494930552594956
I/O Profiles,custom_short_input_only,16,63273,234.43614861999959,269.89438434496714,1.6261505031090995
I/O Profiles,custom_short_input_only,64,209212,241.0283588040038,867.9974465997348,0.5056338478968782
