experiment,users,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p99,e2e_mean,e2e_p50,e2e_p99,itl_p50_mean,itl_p99_mean,output_tokens
custom_all_profiles,16,44,184.8205900460016,192.9680265020579,202.07655235026323,229.6874097293039,61.8104400439456,62.07128369086064,62.96627903360379,93150.50634116001,92863.85825949765,127728.23453667907,61.63512518171708,70.20129765175047,66186
custom_all_profiles,64,153,249.73424734006366,268.54540599742904,309.9634915968636,333.99293180031214,81.77032108665222,82.6560427333289,88.21718107954077,115700.03291070634,117771.6358969992,174844.08193020237,81.15364952272358,124.43649124103746,216024
custom_coding_only,16,45,187.62538857845357,193.9591170012136,207.5888282022788,215.951450841676,61.56468681890769,61.73720994281469,62.478287868757384,94496.11301380015,124261.00706899888,127455.4164048392,61.358212644134056,69.82229916758011,69012
custom_coding_only,64,150,245.76653773993408,262.382205499307,316.53442854949384,323.60123081205523,81.8331041300039,82.95257242107817,88.15331781603072,123617.0959817066,149412.20783850076,176512.49448951115,81.31824890331093,122.27500058863176,225438
custom_creative_only,16,42,184.64445902351318,192.85714250145247,201.29620794505175,211.8729793975944,61.776216513801515,62.1104031221377,62.40932710680548,100620.74476576164,101755.51339950108,127597.18423493396,61.6454808693691,67.66690010263981,68309
custom_creative_only,64,135,245.73541870356874,260.84250600251835,314.28631599774235,333.38263999743504,82.32753115667317,82.84557741661537,87.97790220398358,140256.9748089482,151590.68435899826,175682.64964933885,82.15749159992103,122.91862625788296,229745
custom_long_input_only,16,34,194.52255744160058,192.1947974988143,240.21934149895966,260.52224852770456,62.24552486944657,62.35687092072139,63.17956759991968,119235.61511685372,126042.70752250159,128501.6384325089,61.98679580933565,70.71218551146397,65068
custom_long_input_only,64,128,254.02159546854364,259.2722794979636,363.58741400217696,376.9389685706119,84.71061391067941,85.47675801917748,88.36983464276777,161275.37084585946,169961.2133824994,180306.83934453537,84.74263386747793,131.63577074913343,243538
custom_reasoning_only,16,44,188.9795445683624,195.26302749727623,203.960500148969,237.78740966117763,61.95753413403972,62.09720996985284,63.143063121838324,91903.8495107505,124599.46709200447,128184.53077388753,61.63511413623465,73.43303026866288,65163
custom_reasoning_only,64,149,247.8566983894499,247.88608599919823,327.4301339974045,348.5256477986696,82.12980485374786,83.12779505263222,91.98928690447835,131126.3496062084,164182.84343599953,179211.09010755958,81.4809271814372,129.71084855164628,234766
custom_short_input_only,16,76,184.68419882858717,190.77965649557882,197.57168199976152,200.4720562508737,61.261781711386625,61.49477868445098,62.191983463761495,51073.53707185537,36964.467723999405,126255.48734875156,60.90363675617769,72.72095683772837,63273
custom_short_input_only,64,238,246.4525706557598,258.83611099925474,289.3118530002539,303.05924889798916,79.47205199973641,81.01418750623117,84.00797448267515,69675.52222896181,52882.691401002376,164920.47773066864,78.14134830041745,115.30915871098931,209212
