timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T08:34:05.458Z,0,19122,23034,83.0,28.86,50
2026-03-06T08:34:07.511Z,100,19122,23034,83.0,71.83,53
2026-03-06T08:34:09.571Z,100,19122,23034,83.0,71.83,54
2026-03-06T08:34:11.625Z,100,19122,23034,83.0,72.04,55
2026-03-06T08:34:13.688Z,100,19122,23034,83.0,71.87,56
2026-03-06T08:34:15.739Z,100,19122,23034,83.0,72.01,56
2026-03-06T08:34:17.793Z,100,19122,23034,83.0,72.06,57
2026-03-06T08:34:19.853Z,100,19122,23034,83.0,71.95,58
2026-03-06T08:34:21.906Z,100,19122,23034,83.0,49.58,58
2026-03-06T08:34:23.959Z,100,19122,23034,83.0,72.04,59
2026-03-06T08:34:26.013Z,100,19122,23034,83.0,72.08,60
2026-03-06T08:34:28.066Z,100,19122,23034,83.0,72.09,60
2026-03-06T08:34:30.121Z,100,19122,23034,83.0,71.95,61
2026-03-06T08:34:32.173Z,100,19122,23034,83.0,71.90,61
2026-03-06T08:34:34.226Z,100,19122,23034,83.0,71.94,62
2026-03-06T08:34:36.277Z,0,19122,23034,83.0,56.78,60
2026-03-06T08:34:38.334Z,100,19122,23034,83.0,72.86,62
2026-03-06T08:34:40.388Z,100,19122,23034,83.0,71.81,63
2026-03-06T08:34:42.441Z,100,19122,23034,83.0,71.97,64
2026-03-06T08:34:44.501Z,100,19122,23034,83.0,72.04,64
2026-03-06T08:34:46.556Z,100,19122,23034,83.0,71.96,65
2026-03-06T08:34:48.611Z,100,19122,23034,83.0,72.06,65
2026-03-06T08:34:50.663Z,100,19122,23034,83.0,72.04,66
2026-03-06T08:34:52.714Z,0,19122,23034,83.0,34.91,63
2026-03-06T08:34:54.766Z,100,19122,23034,83.0,72.10,66
2026-03-06T08:34:56.819Z,100,19122,23034,83.0,72.03,67
2026-03-06T08:34:58.869Z,100,19122,23034,83.0,72.07,67
2026-03-06T08:35:00.921Z,100,19122,23034,83.0,71.96,68
2026-03-06T08:35:02.973Z,100,19122,23034,83.0,71.98,68
2026-03-06T08:35:05.026Z,100,19122,23034,83.0,71.81,69
2026-03-06T08:35:07.077Z,100,19122,23034,83.0,71.88,69
2026-03-06T08:35:09.128Z,100,19122,23034,83.0,72.92,69
2026-03-06T08:35:11.176Z,100,19122,23034,83.0,71.84,70
2026-03-06T08:35:13.226Z,100,19122,23034,83.0,71.90,70
2026-03-06T08:35:15.276Z,100,19122,23034,83.0,71.97,71
2026-03-06T08:35:17.325Z,100,19122,23034,83.0,72.01,71
2026-03-06T08:35:19.380Z,100,19122,23034,83.0,71.95,71
2026-03-06T08:35:21.429Z,100,19122,23034,83.0,72.02,72
2026-03-06T08:35:23.482Z,100,19122,23034,83.0,66.49,72
2026-03-06T08:35:25.532Z,100,19122,23034,83.0,72.18,72
2026-03-06T08:35:27.580Z,100,19122,23034,83.0,71.86,73
2026-03-06T08:35:29.632Z,100,19122,23034,83.0,72.06,73
2026-03-06T08:35:31.683Z,100,19122,23034,83.0,71.96,73
2026-03-06T08:35:33.729Z,100,19122,23034,83.0,71.84,74
2026-03-06T08:35:35.777Z,100,19122,23034,83.0,71.89,74
