Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772792833,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792834,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792835,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792836,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792837,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792838,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792839,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792840,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792841,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792842,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792843,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792844,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792845,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792846,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792847,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792848,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772792849,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792849,4,POST,chat/short,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792849,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792850,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792850,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792850,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792851,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792851,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792851,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792852,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792852,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792852,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792853,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792853,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792853,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792854,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792854,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792854,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792855,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
1772792855,4,POST,chat/short,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,17,18.354358499891532,16.720404999432503,19.98831200035056,0.0
1772792855,4,,Aggregated,0.000000,0.000000,18,18,20,20,20,20,20,20,20,20,20,4,0,17,17.92230399996697,16.54496700029995,19.98831200035056,0.0
1772792856,4,POST,chat/medium,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,2,0,17,17.49024950004241,16.54496700029995,18.43553199978487,0.0
