timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
35726.132381953,medium,569,164,93.14289699977962,60.814835092021035,10005.961016999208,58.09819899877766,102.4294896193895,stop,True,
35736.13896875,long,1960,273,183.64383500011172,73.35345767280481,20135.78432200302,60.415563497372204,517.5111759902214,stop,True,
35748.640055868,long,10301,127,660.7874059991445,72.2738210158515,9767.288853996433,61.316253999393666,437.7741247481026,stop,True,
35758.407838342,long,1548,101,237.083045001782,69.59622618996946,7196.705663998728,61.515574001532514,350.9862013543176,stop,True,
35741.137611463,long,10670,384,720.2473340003053,69.95298924020996,27512.242213000718,61.285468997084536,379.675274439797,stop,True,
35778.647636744,short,37,9,191.5996060051839,70.81057574941951,758.08421200054,63.073528501263354,63.9216252987535,stop,True,
35733.646158518,long,2062,914,151.32269600144355,70.11832983132079,64169.35783199733,61.95562899665674,454.2511808432753,stop,True,
35763.644272351,long,6563,528,467.5859390044934,70.31679744402011,37524.53819200309,63.32248899707338,351.24918479894444,stop,True,
35756.275074022,long,5924,656,642.800925001211,69.95500902290267,46463.331835002464,63.03579900122713,355.3144151413294,stop,True,
35797.81627383,long,1133,81,311.45725299575133,72.69357896257134,6126.943570001458,64.63437849743059,201.19658066803487,stop,True,
35756.140034935,long,3151,760,364.6409720022348,70.88809588536996,54168.705748998036,63.276177999796346,381.7250617782683,stop,True,
35801.169598223,long,1838,358,215.6268149992684,69.90445738375668,25171.5181010004,64.79030800255714,255.13018291821928,stop,True,
35765.604829526,long,6946,873,486.72640900622355,70.5069253795838,61968.7653400033,64.16889899992384,345.46753682035745,stop,True,
35779.405904676,long,3898,727,379.7734909967403,69.81645509917816,51066.51989300008,64.5303485034674,265.17540349777846,stop,True,
35771.152931497,long,10998,846,728.3666329967673,70.03449559289743,59907.515408995096,64.28090800181963,299.7395256397405,stop,True,
35768.650312966,long,5476,1065,350.3270510045695,69.47517742105276,74271.9158270047,64.15634400036652,290.5899416582493,stop,True,
35802.738857276,long,10561,594,754.4405339940568,68.12711165430746,41153.81774499838,64.3925490003312,131.9349080399891,stop,True,
35803.94370942,long,2720,669,216.79223400133196,69.2770567485039,46493.866142001934,64.29195350210648,251.41356607404444,stop,True,
35810.309211434,long,3228,658,403.05179999995744,69.23962717807531,45893.486855995434,64.01827799709281,206.7493155621955,stop,True,
35831.060977126,long,4642,544,445.26620900433045,68.4934273664802,37637.19726900308,63.05253799655475,180.6346728015343,stop,True,
35830.472868849,long,1296,571,205.0895760039566,68.70861805964203,39369.00186999992,63.11238300258992,224.00859767002814,stop,True,
35826.341637014,long,9202,708,712.5834140024381,69.52653507355606,49867.84371100657,63.204199002939276,318.32187820022307,stop,True,
35868.698699515,long,1215,256,202.78890599729493,69.69843861177866,17975.89075200085,62.894187998608686,376.48949181981277,stop,True,
35850.438048852,long,3711,545,282.5399140056106,69.88193915992055,38298.31481700239,62.71592849952867,442.4354353277907,stop,True,
35843.893300291,long,9189,642,576.0344869995606,71.0512890998448,46119.91080000007,62.81864800257608,500.55244880059183,stop,True,
35886.675000287,long,11104,59,850.2982899954077,75.35189574138775,5220.708242995897,63.46091399973375,351.0306821305129,stop,True,
35869.842241789,long,7868,365,744.1255229932722,70.74016845055647,26493.546838995826,63.00047900003847,461.99248886070563,stop,True,
35827.574425746,long,1354,1015,209.27572499931557,69.67542984911103,70860.1615919979,63.086517995543545,405.2482479629548,stop,True,
35876.210333045,long,1588,382,199.07605500338832,69.82181736481913,26801.188470999477,62.84103899815818,426.62266480037886,stop,True,
35896.336115368,long,1174,102,274.6045339954435,69.64383147527823,7308.631512998545,62.622358003864065,319.7070230016834,stop,True,
35903.644920471,long,2342,54,353.5704320020159,64.48268901885109,3771.152950001124,63.51927799551049,65.35590732150013,stop,True,
35842.922955724,long,2206,949,204.62871499330504,70.94064987447425,67456.36479599489,62.88382850107155,456.4804772971545,stop,True,
35856.20329295,long,3598,782,198.40877599926898,70.74417230986643,55449.60735000495,62.82992899650708,448.46516319812577,stop,True,
35907.416319641,long,9016,379,739.741191995563,66.7135771534516,25957.473356000264,63.73980800344725,190.4001704364064,stop,True,
35911.65372668,long,2037,339,304.9922529971809,67.01331755621086,22955.493586996454,63.7278284993954,169.44677448351212,stop,True,
35903.012474347,long,5713,480,442.3733790026745,68.54960267432156,33277.6330600027,63.69134799751919,232.416497600498,stop,True,
35890.014094521,long,2946,831,305.25940399820684,69.03984725422012,57608.33262500091,63.64420349927968,281.0075700889886,stop,True,
