timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
51906.47782779,short,79,469,182.08264700660948,70.55631794229647,33202.43944400136,69.12523900246015,132.12622139690208,stop,True,
51889.587634336,short,183,891,88.10344799712766,68.32255177078683,60895.17452399741,66.93027350047487,131.6316301978077,stop,True,
51940.250261184,short,30,150,224.40134699718328,79.21441825503841,12027.349666997907,77.00413899874547,147.83127540198635,stop,True,
51913.981046579,short,125,562,178.58874700323213,74.97857563814344,42241.5696800017,73.52304899541195,145.02230299985965,stop,True,
51912.102618209,short,69,818,210.2234470003168,75.74722647123576,62095.70747399994,75.67308899888303,130.29977239959413,stop,True,
51950.4851588,short,53,437,252.40812599804485,81.01798463074107,35576.24942500115,80.00481799899717,108.3130921502743,stop,True,
51956.223051769,short,79,391,285.06801500043366,81.70823344616787,32151.2790590059,80.474543497985,109.89532188767046,stop,True,
51891.459278455,medium,253,1357,182.50328700378304,73.34061896902455,99632.38260900107,74.70220899995184,127.99582749721594,stop,True,
51898.999828432,medium,253,1387,193.57461699837586,75.91448635281125,105411.05270199478,77.23019900004147,126.94385699978746,stop,True,
51943.995091994,short,44,779,267.82030599861173,82.08307314524666,64128.45121300052,81.05388900003163,115.44170329922053,stop,True,
51897.091753433,short,44,1539,188.81747699924745,76.45176750325095,117771.63589699921,77.86270900032832,128.05474819870145,stop,True,
51929.031956475,medium,164,1081,192.7320869945106,81.41763402129948,88123.77682999795,80.96232849857188,127.92727320826089,stop,True,
51952.277866051,medium,268,902,270.11187600146513,83.96344783018478,75921.17837099795,82.95000799989793,124.50391799939098,stop,True,
51927.126209226,short,66,1332,187.82386699604103,82.37913240796401,109834.44910199614,81.68017899879487,131.43308300204808,stop,True,
51939.681756824,medium,221,1176,233.52082599740243,83.58922887574931,98450.86475500284,82.78559899918037,130.69342820017482,stop,True,
51934.627405655,medium,221,1262,211.24045599572128,83.29334726566391,105244.15135799791,82.41110800008755,131.29831200203628,stop,True,
52004.412801754,short,79,423,298.8454560036189,88.35419450473577,37584.31553700211,86.0752539956593,134.72980299753547,stop,True,
51932.757309345,medium,175,1326,264.05318600154715,83.25793634641603,110580.8188450028,82.50992900138954,131.30649439932313,stop,True,
51893.333088905,long,559,2047,176.01031700178282,78.43180413587345,160647.48157899885,80.27664399924106,130.91607150345226,length,True,
51895.208158205,medium,229,2048,186.6884260016377,78.86908596384914,161631.70739400084,80.5443089993787,131.37152000068454,length,True,
51938.376878135,medium,268,1490,241.81280600168975,84.4681515043641,126014.89039599983,83.60934899974382,131.54744167753958,stop,True,
51900.838350902,long,584,2047,173.15715699805878,80.21032624682442,164283.48465800082,81.40007400288596,132.620949498596,length,True,
51902.715357581,long,559,2047,146.02846799971303,80.63509073216116,165125.42410600145,81.53681900148513,132.22749855340223,length,True,
