experiment,users,category,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p99,e2e_mean,e2e_p50,e2e_p99,itl_p50_mean,itl_p99_mean,output_tokens
non_reasoning_baseline,16,long,69,416.78276950709835,436.0571420002088,654.117267597757,955.0430440387545,59.00186299425388,60.34032849405025,64.62275298345912,55399.138993275184,55408.83786199993,161519.18854055667,55.418273065209874,197.06423785815403,64527
non_reasoning_baseline,16,medium,7,165.8052909998722,170.45813699951395,183.23972029902507,185.09514085948467,56.06194360790685,57.3355417654729,59.474291225731214,20795.78780342906,17775.054448000446,41143.25043378063,52.35833235617195,197.41597338470487,2493
non_reasoning_baseline,16,short,4,241.57973774981656,172.7660364995245,440.54333824969933,476.85455644983443,61.45308797921163,61.59880252074603,62.337777091631565,18720.924054499847,16370.438005000324,39689.52046085862,53.779799124185956,251.71134010092777,1218
non_reasoning_baseline,32,long,115,445.0093752696652,468.14515000005485,666.4722496996544,818.9182445821643,75.21387445733237,76.30667412757046,85.36684734442382,66255.7206581391,60598.99208499701,200435.49831935743,67.79831241730552,357.2657188029038,101140
non_reasoning_baseline,32,medium,7,187.57985185688344,212.15009200022905,263.9822796001681,267.8296279211645,72.28635006074045,71.76775015458034,82.87860218847632,42916.97590128595,28416.515408000123,116783.38574522179,63.99471992803488,342.1581922402453,4075
non_reasoning_baseline,32,short,3,233.9449433335782,236.0679400007939,240.24553210001613,240.616873619947,81.64197102152913,84.10306539798157,89.14710704123134,26067.697741999535,2650.4609689982317,73803.89144888031,75.58612000048015,355.0451299064847,922
non_reasoning_baseline,64,long,162,21198.163410672776,21079.947266498493,51776.341855201645,55036.257898280004,100.44423931132002,101.93120852998666,134.52538986952766,100113.23696019131,98103.80756450104,223160.24955187968,83.07092761166832,472.30874266827317,131521
non_reasoning_baseline,64,medium,17,28804.051409471012,32485.763946002407,52585.32464680029,53726.30447655916,108.13262470148801,106.9387152844558,139.8501801517804,71454.54885547052,65862.35916900114,142244.7512297606,84.4407028526963,491.0436152779114,7076
non_reasoning_baseline,64,short,2,23248.000967500047,23248.000967500047,44031.37298995043,45878.78383639047,81.97901811096622,81.97901811096622,104.30596404207688,23985.812130498743,23985.812130498743,46817.53751276916,67.2298290010076,127.9560204201698,20
reasoning_baseline,16,long,42,502.68275166663875,491.7055164987687,1026.638889349124,1045.0178034993223,60.62378063815878,62.06178481255594,65.44286526287364,96604.8971025,93970.58348249813,235648.67211334957,58.84575688092549,95.52401695287266,66830
reasoning_baseline,16,medium,3,206.93156966687334,199.5363370006089,251.79614020089502,256.44145604092046,60.61728464594162,61.526691074714,62.72208662607936,69622.22633700003,64514.68085200031,100536.67563531795,58.941545500298766,107.22113098327122,3480
reasoning_baseline,16,short,1,242.48452499887208,242.48452499887208,242.48452499887208,242.48452499887208,62.66788395762471,62.66788395762471,62.66788395762471,7637.294831998588,7637.294831998588,7637.294831998588,57.9248939993704,116.72628097174312,119
reasoning_baseline,32,long,62,2145.043695709788,550.0883900003828,9908.764872048409,15711.05157453971,80.35583718493898,81.224478389829,92.14936940645512,134226.32123185505,134579.28884050125,329406.71517045994,76.10501377383761,293.42503559622054,101731
reasoning_baseline,32,medium,2,252.08867550099967,252.08867550099967,346.64820914986194,355.0535010297608,73.59048975912057,73.59048975912057,86.42075124755162,56043.18343400155,56043.18343400155,63568.55159788167,66.42394850132405,332.0384333200492,1530
reasoning_baseline,32,short,2,341.903814498437,341.903814498437,347.09665204809426,347.5582376080638,84.11895814229835,84.11895814229835,85.1558292497544,11623.633716497352,11623.633716497352,14004.144634527438,78.77074899897707,160.53968277061364,271
reasoning_baseline,64,long,35,38278.23008811424,579.597609998018,160089.94817709972,163460.77278546087,106.72740900949532,91.2435584650325,319.90579006726637,172942.0903955427,166330.5513330015,338717.7045283784,83.54776211428023,448.64248279795146,47197
reasoning_baseline,64,medium,3,44983.62951599847,291.6856939991703,120987.4820764984,131715.99731049835,94.40432162431343,93.00562438138384,97.30309117036725,173696.6916776655,238816.7402759973,256714.9451242999,81.03060200058583,498.49179709600645,4145
reasoning_baseline,64,short,1,259.54149500103085,259.54149500103085,259.54149500103085,259.54149500103085,74.63923369386418,74.63923369386418,74.63923369386418,7574.186396999721,7574.186396999721,7574.186396999721,62.74302950077981,313.65764881040394,99
