timestamp,category,approx_chars,output_tokens,ttft_ms,tpot_ms,e2e_ms,itl_p50_ms,itl_p99_ms,finish_reason,success,error_type
85861.282099438,long,1314,195,771.1629249970429,245.47430067011106,48393.17725499859,218.58273399993777,748.6257846980878,stop,True,
85836.889355023,long,8220,498,1508.4770819958067,229.2788054466904,115460.04338900093,215.17214899358805,698.2904275140033,stop,True,
85833.136947659,long,1271,635,834.4107680022717,227.87900719557902,145309.70132999937,214.213163992099,679.9657486366046,stop,True,
85843.737999786,long,1171,720,519.9540089961374,226.7051270333893,163520.94034600304,212.8187789930962,673.8810625570485,stop,True,
85824.688705817,long,6296,968,1506.751674998668,214.7736868055958,209192.90681600978,210.94468999945093,635.8507411187751,stop,True,
85849.133494263,long,1972,848,461.3760549982544,221.3951102337677,187983.03442299948,211.1933889973443,669.3908117810491,stop,True,
85830.322245772,short,198,996,514.3750999995973,218.00131832563022,217425.68683400168,210.3930190060055,645.3321481408775,stop,True,
85827.703272067,long,6351,1031,409.24438000365626,216.68946780000184,223599.39621400554,210.12021500064293,655.709968492011,stop,True,
85829.381813264,long,4843,1022,631.8335389951244,217.31691720862574,222512.406009002,210.10798000497743,657.4254501989336,stop,True,
85838.768468609,long,8440,994,1007.7523209911305,219.55537748438823,219026.24216298864,210.27121899533086,677.299847128452,stop,True,
85835.013158897,long,11955,1022,869.9518750072457,221.04607221743308,226557.99160900642,210.22060900577344,681.1462732031939,stop,True,
85844.402610371,long,9176,984,2098.7828869983787,222.27627992471784,220596.36605299602,210.3397189930547,702.1213206462546,stop,True,
85846.27171899,long,12357,1060,943.3908689970849,221.8923287365473,235927.36700100068,209.56983900396153,730.3987061683441,stop,True,
85825.629530017,long,6820,1306,1120.836631002021,215.300597549417,282088.1164329912,206.95519899891224,695.4464102099887,stop,True,
85856.594179323,long,1368,708,655.2052369952435,374.06099053465135,265116.32554499374,212.3273689940106,753.8554864545589,stop,True,
85820.9388229,long,8735,1437,776.2797250034055,211.90561785375309,305072.7469629928,205.79156550229527,691.1395468509012,stop,True,
85835.966472343,long,10104,1295,1942.7744499989785,227.82279986012267,296745.4774689977,206.92435449745972,728.5998220556936,stop,True,
85834.077262187,long,12108,1397,1013.0705619958462,221.0009271661914,309530.364885999,205.96396500332048,733.1455205974635,stop,True,
85832.19782273,long,2663,1510,385.073152006953,218.46801556593283,330053.3086409996,204.54944000812247,733.1640584819253,stop,True,
85837.840271589,long,11538,1487,1793.4594450052828,218.38979819044266,326320.6995560031,204.41672000015387,748.0016578498181,stop,True,
85872.541704688,long,8563,0,,,300028.5541929916,,,,False,ConnectionError
85853.778721444,long,5534,1132,1526.5383429941721,280.5953971927559,318879.9325680011,206.84316000551917,750.1899802970003,stop,True,
85873.483367977,long,7700,0,,,300029.4366610033,,,,False,ConnectionError
85874.435247935,long,8959,0,,,300019.56830199924,,,,False,ConnectionError
85875.357543655,long,8709,0,,,300029.1226510017,,,,False,ConnectionError
85876.293906325,long,6253,0,,,300034.0062590112,,,,False,ConnectionError
85871.604844709,long,2448,20,1431.4571510039968,16011.914430210662,305657.83132500655,221.26507898792624,233.33401720534312,,False,ConnectionError
85877.233992944,long,9587,0,,,300036.0552189959,,,,False,ConnectionError
85870.664752561,long,7617,24,1128.7358499976108,13290.530913130446,306810.94685199787,221.49068900034763,698.4032064580247,,False,ConnectionError
85878.174923312,long,6855,0,,,300018.3564209874,,,,False,ConnectionError
85828.443358915,long,4986,1615,939.7784979955759,216.95584863569064,351106.51819600025,203.41411499975948,745.9335966294733,stop,True,
85869.726447141,long,1344,51,675.0641550024739,6238.503671499784,312600.2477299917,220.16629399877274,725.8105441080986,,False,ConnectionError
85868.787446082,long,1139,53,1392.2814459947404,6007.103094057618,313761.6423369909,220.50814899557736,723.4002466897075,,False,ConnectionError
85852.843192484,long,4962,1222,673.5665760061238,269.6719959590479,329943.0736420036,205.93014000041876,748.0107700015651,stop,True,
85867.848828943,long,10407,71,2299.716788009391,4516.137534671413,318429.3442150083,220.6366290047299,704.3650884137608,,False,ConnectionError
85866.914823874,long,9022,100,941.3206079916563,3269.2454340101885,324596.6185750003,219.87481899850536,770.8600318056415,,False,ConnectionError
85865.978921084,long,6738,133,1614.2159739974886,2504.8550174015513,332255.0782710023,219.300528500753,741.7567682902152,,False,ConnectionError
85865.040031746,long,1526,149,2000.2578260027803,2259.7069876756977,336436.89200200606,219.34784849872813,725.0845541041055,,False,ConnectionError
85864.100270616,long,6725,157,2562.2480919992086,2155.9918620704802,338896.97857499414,218.88877849414712,718.9612799527811,,False,ConnectionError
85909.676157823,long,2674,0,,,300024.66003499285,,,,False,ConnectionError
85831.260284441,long,4638,1778,754.9346269952366,216.93849318007835,386254.63700799446,202.22956000361592,749.3461502023274,stop,True,
85839.706432707,long,8181,1760,766.2554350099526,217.49833276804708,383345.8227740048,202.3085499968147,750.9361111803447,stop,True,
85819.062826992,long,2068,1977,183.50938199728262,210.3470616219623,415829.3031469948,201.5964050006005,751.2790092514479,stop,True,
85841.577522465,long,9181,1797,798.6824340041494,218.55082624721817,393315.966374008,202.14229500561487,751.5193134946458,stop,True,
85826.566300486,long,2631,1919,555.5192070023622,215.05380643378604,413028.719947004,201.74270549614448,750.9445410332409,stop,True,
85821.87569915,long,9736,1962,611.2484699988272,213.1150334798595,418529.8291240033,201.59969000087585,751.1017764016287,stop,True,
85823.754551168,long,7810,1965,470.43880401179194,215.61136396130473,423931.1576240143,201.66213600168703,750.6771400278375,stop,True,
85848.149738859,long,11748,1855,1297.0264639880043,218.60564208522214,406591.88688998984,201.89300500351237,752.2152907046257,stop,True,
85859.40681384,long,7631,1059,1727.102491990081,411.07709564461476,436646.6696839925,200.19899499311578,757.3289068645681,stop,True,
85854.716564604,long,8801,1694,792.5566530029755,262.4333729799161,445092.2571080009,200.8411110000452,752.9240419215057,stop,True,
85851.980607327,long,1533,2083,420.6397499947343,240.83420952161265,501837.4639739923,200.67022000148427,751.0658188877278,stop,True,
85819.998436012,long,5854,2534,545.04599700158,211.92566803355368,537352.7631259931,200.14086000446696,751.5403236035487,stop,True,
85832.2003815,medium,318,428,382.3111429956043,231.95655461359442,99427.75996300043,216.1980399978347,722.5825525182885,stop,True,
85854.715740813,short,31,403,792.9731740005082,232.29645870648272,94176.14957400656,215.81920349854045,731.3183022198795,stop,True,
85844.402178271,long,3279,470,1554.0606599970488,233.27856031554896,110961.70544798952,215.3914399968926,707.3990573611807,stop,True,
85821.879250239,long,3067,679,655.9514069958823,212.6104725885104,144805.85182200593,213.50122949661454,676.5255425780198,stop,True,
85853.777593764,long,2759,546,987.0928750024177,227.92690661834627,125207.25698200113,214.31688898883294,689.8028598091324,stop,True,
85849.127986304,long,6351,896,467.6271339994855,220.72757212960553,198018.80418999644,210.738499998115,662.8268848746659,stop,True,
85842.529586753,medium,849,939,477.78382401156705,220.80167589338322,207589.75581200502,210.61310450022575,655.609987273492,stop,True,
85836.890457193,long,10179,1015,1925.6774419918656,220.43326827120833,225445.0114689971,210.14560949697625,681.637835825095,stop,True,
85850.026092637,long,4013,962,1725.5682320101187,220.9852290322566,214092.37333200872,210.2147290133871,713.7339308013899,stop,True,
85838.768218169,long,6822,1052,943.1205769942608,221.03241210942178,233248.18570399657,209.55082999716979,715.197174999048,stop,True,
85835.013784537,long,5140,1112,968.5621449898463,222.2939918424832,247937.18708198867,209.2493289965205,727.7919952044645,stop,True,
85826.568925186,long,8976,1231,624.396639992483,216.11649887318055,266447.69025400456,208.1221589978668,720.8898461572256,stop,True,
85841.580690505,medium,947,1163,795.7951540010981,221.9191256531812,258665.81916299765,208.48875950468937,732.206295420474,stop,True,
85843.737664415,long,1010,1196,519.8126699979184,221.6547671857701,265397.2594569932,207.86696000141092,731.3920162146678,stop,True,
85824.693500137,long,14745,1437,1893.9005870051915,214.7764280048744,310312.8512020048,205.33921999594895,719.2345651950777,stop,True,
85850.979431194,long,2339,1109,1267.616407989408,258.35919094585637,287529.5999759983,208.80046500678873,733.2011168418104,stop,True,
85819.999235891,long,3889,1521,544.2325480107684,210.999247225654,321263.08833100484,204.80557499831775,724.287193563794,stop,True,
85830.321835272,long,5953,1441,515.4189400054747,218.2483208923562,314793.0010249984,205.3106055027456,733.7464320179424,stop,True,
85839.709953007,medium,957,1490,763.3107150031719,218.83231299865446,326604.62476999965,204.54866100044455,748.2112348789813,stop,True,
85872.543122858,medium,720,0,,,300026.4210430032,,,,False,ConnectionError
85871.606102119,long,10931,2,1649.574199997005,300230.57216200687,301880.14636200387,229.91094800818246,229.91094800818246,,False,ConnectionError
85873.483291727,long,8571,0,,,300029.50854200753,,,,False,ConnectionError
85874.425301185,long,7664,0,,,300017.90888300457,,,,False,ConnectionError
85875.356645125,long,7842,0,,,300029.34380101215,,,,False,ConnectionError
85876.296060935,long,13117,0,,,300031.1391389987,,,,False,ConnectionError
85877.236756583,long,7486,0,,,300033.4811599896,,,,False,ConnectionError
85870.66903349,medium,968,24,1124.571610998828,13290.533971825978,306806.85296299635,223.0266889964696,697.9962782561784,,False,ConnectionError
85878.177512382,short,34,0,,,300016.0177910002,,,,False,ConnectionError
85869.728781341,long,4030,43,674.125815014122,7384.969297261878,310842.836300013,221.03102400433272,732.4897216868707,,False,ConnectionError
85868.789231672,long,2019,52,1392.903544998262,6120.450076352926,313535.8574389975,220.0592089939164,725.4170844971668,,False,ConnectionError
