experiment,users,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p99,e2e_mean,e2e_p50,e2e_p99,itl_p50_mean,itl_p99_mean,output_tokens,gpu_util_mean,gpu_util_max,vram_mean_mib,vram_max_mib,kv_cache_mean_pct,kv_cache_max_pct,requests_running_mean,requests_waiting_mean,requests_waiting_max,gen_throughput_mean
qwen3_kv_fp8_baseline,32,76,1033.286391210583,445.61644249552046,5901.52713650059,10763.940076998551,63.597177836402444,64.13966244800454,79.88128514393662,121423.7386723024,101658.04864299936,424944.36413175025,59.96843591444639,160.7906970419389,147636,98.22857142857143,100.0,20631.657142857144,20648.0,0.3278118899733806,0.5559006211180124,17.542857142857144,0.0,0.0,288.3052448366013
qwen3_kv_fp8_baseline,64,125,876.044194816146,499.1381319996435,1639.1828629988593,11503.910476761235,87.52825642030335,89.23041877452299,100.83660703972836,145536.43908350414,137107.49936100183,355666.55796799826,81.1208816236176,371.32207854116956,208868,97.29729729729729,100.0,20648.0,20648.0,0.6475272788316266,0.9971428571428572,36.810810810810814,0.2702702702702703,5.0,435.4114114114114
qwen3_kv_fp8_baseline,128,162,68028.80655949403,1019.8542640027881,225835.07012949995,239384.87271577216,118.65184931010879,107.26092110291339,266.7203252753997,243603.30198962375,244929.39242949797,467792.4958667679,91.59294411696419,472.57152656284984,243524,100.0,100.0,20648.0,20648.0,0.9176833976833978,0.9998757763975156,57.4054054054054,38.45945945945946,73.0,539.6138138138137
qwen3_kv_turboquant_k8v4,32,53,1491.6582723014453,542.322098997829,8452.330274999256,12253.912020879503,94.34479188077725,95.8805532793335,107.5511053428069,173423.841599811,163928.16808699718,379325.29951923806,91.06804424506132,232.14899310143252,96893,97.22222222222223,100.0,20225.444444444445,20228.0,0.48768275585820153,0.9146805527738836,18.5,0.0,0.0,203.69281731746028
qwen3_kv_turboquant_k8v4,64,72,27441.623022819334,554.4280079993769,169227.9091391018,192319.4606590671,152.73522164813653,131.34046122877166,403.75439202775294,257614.52812466692,254701.30891000008,489433.6822423562,120.38509501381769,488.48865839468766,112292,97.29729729729729,100.0,20228.0,20228.0,0.8734823347280788,0.9987983176447026,33.5945945945946,11.324324324324325,35.0,263.10390390390387
qwen3_kv_turboquant_k8v4,128,40,63276.38161367485,929.9433809974289,272999.29861985106,293132.9059229117,175.14818315358505,137.66402293282377,514.8304250398801,256157.50404324973,246515.39489550123,488823.54442640435,126.81199592561825,573.5733086966212,48470,91.08108108108108,100.0,20228.0,20228.0,0.9144802723813339,0.9997997196074504,36.432432432432435,54.567567567567565,96.0,266.3027027027027
qwen3_kv_turboquant_4bit_nc,32,51,1683.3368395490847,649.2693670006702,9463.516186497145,13111.090311500448,99.73703135354877,101.42926847598136,114.45683659098407,174252.2500168427,160623.78169799922,351366.54993299814,97.55963899021712,244.68120960601357,89093,97.24324324324324,100.0,20204.0,20204.0,0.37474101017542244,0.7421403128387796,17.56756756756757,0.0,0.0,185.98786862154168
qwen3_kv_turboquant_4bit_nc,64,80,15050.280083525377,610.7393405000039,110159.83699569547,136858.41691279877,151.4438082770382,150.07008673157475,237.69772117627983,254342.60855787498,255297.05831699903,492627.953882528,144.34506255574888,517.1307732148811,125470,97.08108108108108,100.0,20204.0,20204.0,0.8129580719018538,0.9992256465851016,40.4054054054054,4.837837837837838,24.0,270.85945945945946
qwen3_kv_turboquant_4bit_nc,128,86,27968.089532464823,810.4877309997391,249682.63307875348,299838.37366305455,224.44550788827732,170.09668858890723,1106.556425879069,299861.8293622322,304974.2375409987,504386.8371528497,157.4198559478117,652.4240899263303,119278,91.24324324324324,100.0,20204.0,20204.0,0.9318443424065229,0.9993805172680812,51.91891891891892,39.4054054054054,80.0,300.7177430843493
qwen3_kv_turboquant_k3v4_nc,64,67,8913.783239821449,770.6113949971041,58352.14569950182,75510.95803291799,177.35546275187443,175.7632488469244,236.85969924182916,240840.6466868208,229213.23242101065,489829.09697245696,172.12472728324565,611.8838368799611,87434,94.48648648648648,100.0,20224.0,20224.0,0.8109531798313119,0.999003416856492,44.027027027027025,2.2162162162162162,11.0,253.75195603909464
