timestamp,gpu_utilization_pct,memory_used_mb,memory_total_mb,memory_utilization_pct,power_draw_w,temperature_c
2026-03-06T09:54:34.421Z,0,19136,23034,83.1,33.68,72
2026-03-06T09:54:36.476Z,100,19136,23034,83.1,72.12,74
2026-03-06T09:54:38.531Z,100,19136,23034,83.1,71.81,74
2026-03-06T09:54:40.586Z,100,19136,23034,83.1,71.96,74
2026-03-06T09:54:42.640Z,100,19136,23034,83.1,71.88,75
2026-03-06T09:54:44.702Z,100,19136,23034,83.1,72.03,75
2026-03-06T09:54:46.757Z,100,19136,23034,83.1,72.03,75
2026-03-06T09:54:48.813Z,100,19136,23034,83.1,71.88,76
2026-03-06T09:54:50.867Z,100,19136,23034,83.1,69.11,76
2026-03-06T09:54:52.922Z,100,19136,23034,83.1,71.91,76
2026-03-06T09:54:54.985Z,100,19136,23034,83.1,72.10,77
2026-03-06T09:54:57.038Z,100,19136,23034,83.1,72.04,77
2026-03-06T09:54:59.095Z,100,19136,23034,83.1,71.99,77
2026-03-06T09:55:01.149Z,100,19136,23034,83.1,72.03,78
2026-03-06T09:55:03.202Z,100,19136,23034,83.1,72.05,78
2026-03-06T09:55:05.258Z,100,19136,23034,83.1,71.96,78
2026-03-06T09:55:07.311Z,100,19136,23034,83.1,72.14,79
2026-03-06T09:55:09.374Z,100,19136,23034,83.1,72.06,78
2026-03-06T09:55:11.427Z,100,19136,23034,83.1,71.91,78
2026-03-06T09:55:13.482Z,100,19136,23034,83.1,71.96,78
2026-03-06T09:55:15.538Z,100,19136,23034,83.1,72.01,78
2026-03-06T09:55:17.592Z,100,19136,23034,83.1,72.04,78
2026-03-06T09:55:19.653Z,100,19136,23034,83.1,72.05,78
2026-03-06T09:55:21.709Z,100,19136,23034,83.1,71.99,78
2026-03-06T09:55:23.762Z,100,19136,23034,83.1,72.38,78
2026-03-06T09:55:25.816Z,100,19136,23034,83.1,71.92,78
2026-03-06T09:55:27.870Z,100,19136,23034,83.1,72.01,78
2026-03-06T09:55:29.931Z,100,19136,23034,83.1,72.08,78
2026-03-06T09:55:31.987Z,100,19136,23034,83.1,72.01,78
2026-03-06T09:55:34.040Z,100,19136,23034,83.1,71.97,77
2026-03-06T09:55:36.094Z,100,19136,23034,83.1,71.97,77
2026-03-06T09:55:38.147Z,100,19136,23034,83.1,73.22,77
2026-03-06T09:55:40.210Z,100,19136,23034,83.1,71.66,77
2026-03-06T09:55:42.265Z,100,19136,23034,83.1,72.16,77
2026-03-06T09:55:44.318Z,100,19136,23034,83.1,72.00,77
2026-03-06T09:55:46.371Z,100,19136,23034,83.1,71.97,77
2026-03-06T09:55:48.424Z,100,19136,23034,83.1,72.00,77
2026-03-06T09:55:50.477Z,100,19136,23034,83.1,71.97,76
2026-03-06T09:55:52.529Z,100,19136,23034,83.1,72.03,76
2026-03-06T09:55:54.592Z,100,19136,23034,83.1,72.42,76
2026-03-06T09:55:56.645Z,100,19136,23034,83.1,71.05,76
2026-03-06T09:55:58.699Z,100,19136,23034,83.1,71.83,76
2026-03-06T09:56:00.752Z,100,19136,23034,83.1,71.87,76
2026-03-06T09:56:02.805Z,100,19136,23034,83.1,71.93,76
2026-03-06T09:56:04.867Z,100,19136,23034,83.1,71.97,76
