timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_pct,avg_prompt_throughput_toks_per_s,avg_generation_throughput_toks_per_s
2026-03-06T09:39:12.040Z,0.0,0.0,0.00,,
2026-03-06T09:39:14.095Z,1.0,0.0,0.03,5.8,9.7
2026-03-06T09:39:16.153Z,1.0,0.0,0.08,0.0,18.0
2026-03-06T09:39:18.205Z,1.0,0.0,0.11,0.0,17.5
2026-03-06T09:39:20.258Z,1.0,0.0,0.15,0.0,18.0
2026-03-06T09:39:22.309Z,1.0,0.0,0.20,0.0,17.6
2026-03-06T09:39:24.362Z,1.0,0.0,0.23,0.0,17.5
2026-03-06T09:39:26.428Z,1.0,0.0,0.26,0.0,17.9
2026-03-06T09:39:28.480Z,1.0,0.0,0.02,5.8,9.7
2026-03-06T09:39:30.533Z,1.0,0.0,0.07,0.0,17.5
2026-03-06T09:39:32.587Z,1.0,0.0,0.10,0.0,18.0
2026-03-06T09:39:34.641Z,1.0,0.0,0.13,0.0,17.5
2026-03-06T09:39:36.701Z,1.0,0.0,0.16,0.0,17.5
2026-03-06T09:39:38.754Z,1.0,0.0,0.21,0.0,18.0
2026-03-06T09:39:40.806Z,1.0,0.0,0.25,0.0,17.5
2026-03-06T09:39:42.856Z,0.0,0.0,0.00,0.0,17.1
2026-03-06T09:39:44.908Z,1.0,0.0,0.07,17.1,10.2
2026-03-06T09:39:46.968Z,1.0,0.0,0.10,0.0,17.5
2026-03-06T09:39:49.022Z,1.0,0.0,0.15,0.0,18.0
2026-03-06T09:39:51.076Z,1.0,0.0,0.18,0.0,17.5
2026-03-06T09:39:53.131Z,1.0,0.0,0.21,0.0,17.5
2026-03-06T09:39:55.185Z,1.0,0.0,0.25,0.0,18.0
2026-03-06T09:39:57.239Z,1.0,0.0,0.29,0.0,17.5
2026-03-06T09:39:59.292Z,0.0,0.0,0.00,0.0,8.3
2026-03-06T09:40:01.349Z,1.0,0.0,0.08,20.4,14.6
2026-03-06T09:40:03.402Z,1.0,0.0,0.11,0.0,18.0
2026-03-06T09:40:05.454Z,1.0,0.0,0.16,0.0,17.5
2026-03-06T09:40:07.507Z,1.0,0.0,0.20,0.0,17.5
2026-03-06T09:40:09.561Z,1.0,0.0,0.23,0.0,18.0
2026-03-06T09:40:11.627Z,1.0,0.0,0.26,0.0,17.4
2026-03-06T09:40:13.683Z,1.0,0.0,0.31,0.0,18.0
2026-03-06T09:40:15.736Z,1.0,0.0,0.16,73.1,6.8
2026-03-06T09:40:17.791Z,1.0,0.0,0.21,0.0,18.0
2026-03-06T09:40:19.848Z,1.0,0.0,0.25,0.0,17.5
2026-03-06T09:40:21.910Z,1.0,0.0,0.28,0.0,17.5
2026-03-06T09:40:23.960Z,1.0,0.0,0.31,0.0,18.0
2026-03-06T09:40:26.016Z,1.0,0.0,0.36,0.0,17.5
2026-03-06T09:40:28.068Z,1.0,0.0,0.39,0.0,17.5
2026-03-06T09:40:30.124Z,0.0,0.0,0.00,0.0,15.1
2026-03-06T09:40:32.171Z,1.0,0.0,0.05,7.8,15.6
2026-03-06T09:40:34.224Z,1.0,0.0,0.10,0.0,17.5
2026-03-06T09:40:36.276Z,1.0,0.0,0.13,0.0,18.0
2026-03-06T09:40:38.331Z,1.0,0.0,0.16,0.0,17.5
2026-03-06T09:40:40.385Z,1.0,0.0,0.21,0.0,17.5
2026-03-06T09:40:42.441Z,1.0,0.0,0.25,0.0,18.0
