Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772791982,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791983,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791984,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791985,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791986,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791987,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791988,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791989,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791990,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791991,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791992,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791993,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791994,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791995,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791996,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772791997,4,POST,chat/long,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772791997,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772791997,4,POST,chat/short,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772791997,4,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772791998,4,POST,chat/long,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772791998,4,POST,chat/medium,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772791998,4,POST,chat/short,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772791998,4,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772791999,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772791999,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772791999,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772791999,4,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792000,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792000,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792000,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792000,4,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792001,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792001,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792001,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792001,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792002,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792002,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792002,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792002,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792003,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792003,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792003,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792003,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792004,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792004,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792004,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792004,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
1772792005,4,POST,chat/long,0.000000,0.000000,14,14,14,14,14,14,14,14,14,14,14,1,0,13.536881999243633,13.536881999243633,13.536881999243633,13.536881999243633,0.0
1772792005,4,POST,chat/medium,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15.458799998668837,15.458799998668837,15.458799998668837,15.458799998668837,0.0
1772792005,4,POST,chat/short,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,2,0,11.404849999962607,13.105459999678715,11.404849999962607,14.806069999394822,0.0
1772792005,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13.801650499317475,11.404849999962607,15.458799998668837,0.0
