timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_pct,avg_prompt_throughput_toks_per_s,avg_generation_throughput_toks_per_s
2026-03-06T10:25:36.012Z,0.0,0.0,0.00,,
2026-03-06T10:25:38.064Z,1.0,0.0,0.42,153.5,9.7
2026-03-06T10:25:40.126Z,1.0,0.0,0.47,0.0,17.5
2026-03-06T10:25:42.187Z,1.0,0.0,0.51,0.0,18.0
2026-03-06T10:25:44.238Z,1.0,0.0,0.55,0.0,17.5
2026-03-06T10:25:46.288Z,1.0,0.0,0.59,0.0,17.6
2026-03-06T10:25:48.340Z,1.0,0.0,0.65,0.0,17.5
2026-03-06T10:25:50.395Z,1.0,0.0,0.69,0.0,18.0
2026-03-06T10:25:52.446Z,0.0,0.0,0.00,0.0,8.8
2026-03-06T10:25:54.497Z,1.0,0.0,0.45,162.4,13.7
2026-03-06T10:25:56.563Z,1.0,0.0,0.49,0.0,17.9
2026-03-06T10:25:58.616Z,1.0,0.0,0.55,0.0,17.5
2026-03-06T10:26:00.671Z,1.0,0.0,0.59,0.0,18.0
2026-03-06T10:26:02.726Z,1.0,0.0,0.63,0.0,17.5
2026-03-06T10:26:04.778Z,1.0,0.0,0.67,0.0,17.5
2026-03-06T10:26:06.843Z,1.0,0.0,0.73,0.0,17.9
2026-03-06T10:26:08.898Z,1.0,0.0,0.42,153.4,7.8
2026-03-06T10:26:10.953Z,1.0,0.0,0.45,0.0,17.5
2026-03-06T10:26:13.006Z,1.0,0.0,0.49,0.0,18.0
2026-03-06T10:26:15.060Z,1.0,0.0,0.53,0.0,17.5
2026-03-06T10:26:17.126Z,1.0,0.0,0.59,0.0,17.9
2026-03-06T10:26:19.179Z,1.0,0.0,0.63,0.0,17.5
2026-03-06T10:26:21.231Z,1.0,0.0,0.67,0.0,17.5
2026-03-06T10:26:23.285Z,0.0,0.0,0.00,0.0,15.1
2026-03-06T10:26:25.336Z,1.0,0.0,0.40,147.3,7.3
2026-03-06T10:26:27.389Z,1.0,0.0,0.45,0.0,17.5
2026-03-06T10:26:29.441Z,1.0,0.0,0.49,0.0,17.5
2026-03-06T10:26:31.500Z,1.0,0.0,0.53,0.0,18.0
2026-03-06T10:26:33.553Z,1.0,0.0,0.57,0.0,17.5
2026-03-06T10:26:35.605Z,1.0,0.0,0.63,0.0,17.5
2026-03-06T10:26:37.657Z,1.0,0.0,0.67,0.0,17.5
2026-03-06T10:26:39.713Z,0.0,0.0,0.00,0.0,11.7
2026-03-06T10:26:41.770Z,1.0,0.0,0.40,141.9,12.2
2026-03-06T10:26:43.827Z,1.0,0.0,0.45,0.0,17.5
2026-03-06T10:26:45.885Z,1.0,0.0,0.49,0.0,18.0
2026-03-06T10:26:47.942Z,1.0,0.0,0.53,0.0,17.5
2026-03-06T10:26:49.998Z,1.0,0.0,0.57,0.0,17.5
2026-03-06T10:26:52.062Z,1.0,0.0,0.63,0.0,17.9
2026-03-06T10:26:54.120Z,1.0,0.0,0.67,0.0,17.5
2026-03-06T10:26:56.173Z,0.0,0.0,0.00,0.0,6.3
2026-03-06T10:26:58.223Z,1.0,0.0,0.43,153.6,17.6
2026-03-06T10:27:00.275Z,1.0,0.0,0.49,0.0,18.0
2026-03-06T10:27:02.325Z,1.0,0.0,0.53,0.0,17.6
2026-03-06T10:27:04.376Z,1.0,0.0,0.57,0.0,17.6
2026-03-06T10:27:06.435Z,1.0,0.0,0.63,0.0,18.0
